condition_step_key,condition_key,perturbation_name,dose_value,dose_unit,start_time,end_time,time_unit,sequence_index,notes
mia_b1_in_vitro__dox_bez_300nm_48_h_fig5b__step_1,mia_b1_in_vitro__dox_bez_300nm_48_h_fig5b,Dactolisib,300.0,nM,0,48,h,1,
mia_b1_in_vitro__dox_bez_300nm_48_h_fig5b__step_2,mia_b1_in_vitro__dox_bez_300nm_48_h_fig5b,Doxorubicin,0.5,uM,0,48,h,2,
mia_b1_in_vitro__dox_bez_50nm_48_h_fig5b__step_1,mia_b1_in_vitro__dox_bez_50nm_48_h_fig5b,Dactolisib,50.0,nM,0,48,h,1,
mia_b1_in_vitro__dox_bez_50nm_48_h_fig5b__step_2,mia_b1_in_vitro__dox_bez_50nm_48_h_fig5b,Doxorubicin,0.5,uM,0,48,h,2,
mia_b1_in_vitro__dox_bez_600nm_48_h_fig5b__step_1,mia_b1_in_vitro__dox_bez_600nm_48_h_fig5b,Dactolisib,600.0,nM,0,48,h,1,
mia_b1_in_vitro__dox_bez_600nm_48_h_fig5b__step_2,mia_b1_in_vitro__dox_bez_600nm_48_h_fig5b,Doxorubicin,0.5,uM,0,48,h,2,
mia_b1_in_vitro__doxorubicin_0_05_um_48_h_fig1b_pair_miapaca2_vs_mia_b1__step_1,mia_b1_in_vitro__doxorubicin_0_05_um_48_h_fig1b_pair_miapaca2_vs_mia_b1,Doxorubicin,0.05,uM,0,48,h,1,
mia_b1_in_vitro__doxorubicin_0_1_um_48_h_fig1b_pair_miapaca2_vs_mia_b1__step_1,mia_b1_in_vitro__doxorubicin_0_1_um_48_h_fig1b_pair_miapaca2_vs_mia_b1,Doxorubicin,0.1,uM,0,48,h,1,
mia_b1_in_vitro__doxorubicin_0_2_um_48_h_fig1b_pair_miapaca2_vs_mia_b1__step_1,mia_b1_in_vitro__doxorubicin_0_2_um_48_h_fig1b_pair_miapaca2_vs_mia_b1,Doxorubicin,0.2,uM,0,48,h,1,
mia_b1_in_vitro__doxorubicin_0_4_um_48_h_fig1b_pair_miapaca2_vs_mia_b1__step_1,mia_b1_in_vitro__doxorubicin_0_4_um_48_h_fig1b_pair_miapaca2_vs_mia_b1,Doxorubicin,0.4,uM,0,48,h,1,
mia_b1_in_vitro__doxorubicin_0_6_um_48_h_fig1b_pair_miapaca2_vs_mia_b1__step_1,mia_b1_in_vitro__doxorubicin_0_6_um_48_h_fig1b_pair_miapaca2_vs_mia_b1,Doxorubicin,0.6,uM,0,48,h,1,
mia_b1_in_vitro__doxorubicin_0_8_um_48_h_fig1b_pair_miapaca2_vs_mia_b1__step_1,mia_b1_in_vitro__doxorubicin_0_8_um_48_h_fig1b_pair_miapaca2_vs_mia_b1,Doxorubicin,0.8,uM,0,48,h,1,
mia_b1_in_vitro__doxorubicin_1_um_48_h_fig1b_pair_miapaca2_vs_mia_b1__step_1,mia_b1_in_vitro__doxorubicin_1_um_48_h_fig1b_pair_miapaca2_vs_mia_b1,Doxorubicin,1.0,uM,0,48,h,1,
mia_b1_in_vitro__vehicle_control_24_h_fig4c_ps6_blot__step_1,mia_b1_in_vitro__vehicle_control_24_h_fig4c_ps6_blot,Vehicle,,,0,24,h,1,
mia_b1_in_vitro__vehicle_control_48_h_fig1b_pair_miapaca2_vs_mia_b1__step_1,mia_b1_in_vitro__vehicle_control_48_h_fig1b_pair_miapaca2_vs_mia_b1,Vehicle,,,0,48,h,1,
mia_dx_in_vitro__bez235_50_nm_24_h_fig4c_ps6_blot__step_1,mia_dx_in_vitro__bez235_50_nm_24_h_fig4c_ps6_blot,Dactolisib,50,nM,0,24,h,1,
mia_dx_in_vitro__doxorubicin_0_05_um_48_h_fig1a_pair_miapaca2_vs_mia_dx__step_1,mia_dx_in_vitro__doxorubicin_0_05_um_48_h_fig1a_pair_miapaca2_vs_mia_dx,Doxorubicin,0.05,uM,0,48,h,1,
